clave_municipio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1001,16.250486,3.243673,0.914343,6.493316,10.896215,3.906761,11.728015,3.158669,9.784156,2.827611,3.824879,3.409425,12.270623,5.82248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081769,17.344076
1002,1.161851,1.991979,0.083021,0.913047,0.332019,0.249057,1.161684,0.165982,0.082983,0.166086,0.0,0.083016,1.991521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332051,0.0
1003,0.831244,2.327314,0.249318,1.081044,2.826809,2.576323,0.748262,0.831213,2.077706,1.579938,4.155322,1.580536,1.829422,0.083188,0.0,0.0,0.0,0.747698,0.0,0.65269,0.0,3.244192,0.0,0.5818
1004,0.828432,0.0,0.082849,0.0,0.248702,0.16567,0.165697,0.33158,0.082899,0.165693,0.082859,0.165675,0.414414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005,1.371428,1.163478,0.996802,0.664942,1.744756,0.24928,0.415621,0.249374,0.528684,0.415469,1.996724,0.249253,2.610734,0.332366,0.0,0.249181,0.0,0.0,0.083125,0.747815,0.0,0.0,0.997144,1.91153
1006,2.746988,1.411068,0.166003,1.286557,4.232522,2.904736,3.735365,0.0,0.414954,0.0,0.49795,0.082971,1.577011,0.166015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,1.161144,2.156219,1.366301,0.165828,0.331596,0.663205,0.82925,0.580311,0.414722,0.165911,0.331724,0.995439,2.654138,1.907349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008,1.908897,0.249116,0.332242,0.747575,1.328677,0.497614,0.664301,0.415098,0.913211,0.0,2.407324,0.49803,0.663795,0.083077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165914,0.249174
1009,0.0,0.0,0.0,0.082957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082937,0.082956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652779
2001,88.420639,2822.790393,3364.013602,1810.046422,3636.479541,3944.178068,1595.096203,1037.707536,7664.100507,557.889444,124.231908,408.817295,635.364607,887.709516,2529.655567,707.846318,5198.465023,1656.549259,891.613691,1375.965898,492.972097,993.789158,573.90425,1279.116941
2002,260.765675,69.217096,91.614646,376.983825,24.02591,218.658881,590.469062,101.721442,15.295819,195.579222,39.781624,23.213214,13.238674,17.226956,62.046104,1.382389,65.884466,1.058171,0.991428,22.890096,124.748086,601.59312,15.425391,0.0
2003,93.253804,392.108619,2197.033087,349.390573,463.414212,1022.925994,495.806775,175.83107,997.783518,368.387874,104.995701,139.722992,141.028096,14.764669,36.920865,0.985398,2950.689665,45.406475,465.073259,642.96528,488.843798,107.53537,2248.526062,2499.980292
2004,11.89298,347.495132,69.639403,145.780106,336.811852,684.187361,358.613944,870.606845,207.755631,106.248803,26.214489,16.904529,28.278249,536.222218,20.709465,6.284687,5.226353,2510.710177,183.799956,1730.798358,2045.208828,7.799774,12.597819,25.70031
3001,85.730304,17.390576,12.658956,30.33848,7.380969,15.627123,1.948126,14.039565,8.432689,4.863765,0.485609,18.6449,3.404889,2.185191,0.0,0.0,0.0,0.0,0.0,2.761289,0.40265,0.0,0.0,0.0
3002,1.992366,1.6681,1.041348,5.100488,0.0,1.774239,0.558323,0.962196,0.551337,0.320218,0.318662,5.577019,1.599562,2.228436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3003,1165.719535,70.34218700000001,130.418417,290.83768599999996,43.327560999999996,68.101007,59.34384,55.739515000000004,27.476127,105.25267,172.010143,139.448234,59.529182,40.53754,0.0,0.082012,0.0,0.73916,2.379909,2.705376,0.0,2.634014,41.814491,34.499978
4001,475.486313,459.128501,1068.210711,642.543398,327.861219,734.927406,368.326976,319.469358,1381.221353,470.521685,153.756364,380.067518,558.813514,303.347883,470.558481,414.738702,246.163712,406.665688,490.939152,395.557153,512.131319,323.060278,344.563106,404.888309
4002,1132.355481,2424.112317,1817.641137,1514.417106,1393.022091,1086.583925,2488.666053,1523.09979,4036.575338,1370.584318,752.728757,3032.314447,2526.656174,1559.953275,1456.711653,1817.26619,2000.24378,1996.170341,1332.859318,5543.064927,1522.545304,2017.256406,2414.912327,2546.925759
4003,8132.288797,8480.803232999999,20605.172642,6579.876232,20218.934296,6562.363493,11879.827713,9571.674512,13787.222468,6839.292276,5010.349732,10008.229156,13531.03937,11785.003525,16244.287126,29029.64237,27482.851445,18258.588776,20851.286235,26073.706505,14094.336452000001,12159.280765,16674.591276,28689.76231
4004,7184.008197,6621.312144,9532.009835,7906.129944,7022.194054,6094.651157,9802.50385,9735.548817,16816.12558,6225.295427,5040.481665,7384.039134,14343.69244,8334.966558,8830.792288,21043.02883,20645.91449,13260.66118,22885.17528,19558.45727,9977.617544,11844.74843,24753.07015,24721.3692
4005,287.803537,198.946036,408.112273,674.872884,269.550818,596.688021,271.831537,554.463106,650.627815,329.231012,75.626583,569.252828,553.898162,309.573687,132.909105,291.866666,848.961473,369.65707,448.795181,1461.704592,381.565368,386.159667,1172.748457,383.636738
4006,4869.000007,5207.058838,6394.580969,10194.81572,5533.079171,9490.307504,12312.76648,9627.752132,18070.02992,5246.44265,5153.808768,11868.45847,12450.20436,6417.180333,16565.46953,7220.81796,24207.64241,8836.108101,10145.45897,27054.67726,7684.876716,6939.466229,21753.27453,20033.4504
4007,56.241974,57.122103,120.281694,60.497767,285.81485,28.253208,162.104365,41.875875,117.630387,20.587029,30.700314,75.189783,668.705363,407.596277,240.210442,1435.902738,1053.693446,324.301431,1002.698307,617.679176,197.363181,189.914368,647.755564,4054.936673
4008,796.179712,326.270855,158.333085,644.082645,583.451196,311.923249,1167.480476,866.045799,671.149207,303.96316,274.412714,404.784107,266.11626,460.385974,246.585618,399.799767,1358.971875,637.01468,566.675908,4134.749802,934.950791,564.468567,1169.903032,630.503387
5001,1.116674,8.774242,9.412139,1.435728,0.159502,3.270719,0.878004,2.473628,3.431057,4.545733,0.0,1.914279,1.276616,0.319053,1.754277,0.478537,0.079746,0.239522,0.0,0.0,0.0,0.0,2.553592,0.0
5002,16.729704,34.203622,111.57257,54.132708,71.683699,360.502135,28.513291,50.953068,12.68704,64.041582,420.177507,30.505391,15.907596,13.089221,11.799882,1.457636,5.632448,21.903016,1.096386,6.67137,2.268239,34.535556,8.82359,9.694232
5003,67.012951,7.972269,7.340613,7.681385,26.064555,5.606101,21.94447,16.655154,6.472644,8.529847,12.392873,38.110538,1.578722,10.182218,17.406348,9.15454,24.235344,3.868293,1.973219,22.020085,7.103071,0.0,0.394651,2.604745
5004,3.40187,359.679869,8.345886,5.265437,7.893426,314.128492,12.146776,558.670607,4.620321,114.730191,207.70716,17.331539,74.037146,36.116796,0.647726,5.183743,9.398716,466.720932,26.502849,15.707394,4605.32971,619.030027,141.605627,23.061143
5005,26.086257,24.720775,62.86308,25.365207,17.776176,3.54266,31.643132,69.694113,8.634302,85.191785,17.926594,1.600331,3.996968,7.036368,6.154806,15.602409,7.519542,0.39989,0.0,3.195722,1.43815,22.997846,65.72622,2.239363
5006,76.503595,31.021535,58.102235,57.712225,23.163131,13.813503,7.774705,124.573232,51.098937,46.497387,302.792071,8.01446,2.56244,0.640798,0.640186,0.0,0.080144,0.321113,1.524573,0.399937,0.31997,6.523934,5.456418,0.480121
5007,50.585901,411.32111,57.482648,22.938479,3.596687,54.598335,9.667856,45.099304,7.589204,21.145935,440.841065,729.113758,34.357346,10.937726,13.117208,15.084373,44.096804,7.283385,0.0,0.0,0.0,539.303847,539.406942,5.672469
5008,1.761016,15.299485,6.469318,4.46002,1.280523,1.593,4.220584,6.526728,8.044377,48.022648,1.990496,5.039638,3.344662,6.929217,0.159354,4.613577,0.0,0.0,0.0,0.398229,0.637555,0.0,0.637403,0.0
5009,6.915835,3.041619,1.059697,1.448202,1.369732,1.209751,0.723653,0.645373,0.403275,2.325955,7.626997,0.483842,2.096275,2.174224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96348,0.0
5010,2.47537,6.946872,1.597669,8.788291,1.038027,0.47927,0.878572,1.837378,2.55527,1.756648,0.798978,0.878159,0.718428,2.475296,0.798743,0.639231,0.638794,0.0,2.221482,0.159861,1.596441,0.0,0.0,1.358345
5011,14.811133,8.260749,2.914354,4.93954,6.880113,2.104743,5.750284,2.509337,5.741677,12.872929,1.052023,1.537934,0.647431,0.16172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.222397,1.216043,0.0
5012,122.519324,66.477542,56.330925,42.797718,93.859536,33.295508,67.94893,130.702993,61.155622,127.852676,49.46315,133.72891,40.096177,54.698712,21.027071,55.625812,12.555872,5.211295,0.0,2.768445,2.132256,18.605517,0.0,4.105492
5013,225.76985,115.239587,195.958318,103.785343,122.600709,34.947947,51.724264,294.300672,17.836422,88.790749,56.100875,11.764813,0.870745,4.912553,39.404297,11.641972,4.364423,0.951372,0.0,6.018708,5.547353,6.976065,13.837455,7.446034
5014,15.933317,6.515435,42.297122,32.26926,25.815346,7.970938,11.924684,23.133568,10.134488,72.422029,23.76662,8.31644,1.882343,3.372167,9.733149,13.015602,5.961023,9.802367,4.545577,1.806169,4.783466,1.959484,1.02041,14.373013
