CVE_MUNICIPIO,ANIO,PRESUPUESTO,DECIL_ANUAL_PRESUP,DEFORESTACION_HA,DECIL_ANT,DELTA_DECIL,CLASE_5,PRESUPUESTO_L1,DEFORESTACION_L1,DECIL_L1,PRESUPUESTO_L2,DEFORESTACION_L2,DECIL_L2,CLASE_5_pred,CLASE_5_pred_num,DEFORESTACION_PRED
10001.0,2021,44994000.0,8,0.0,9.0,-1.0,bajada_leve,45579584.0,0.0,9.0,42988630.6,0.0,9.0,sin_cambio,0,0.0
10001.0,2022,7372220.0,6,0.0,8.0,-2.0,bajada_fuerte,44994000.0,0.0,8.0,45579584.0,0.0,9.0,bajada_fuerte,-2,
10001.0,2023,6420900.0,8,0.0,6.0,2.0,subida_fuerte,7372220.0,0.0,6.0,44994000.0,0.0,8.0,subida_fuerte,2,
10001.0,2024,0.0,0,0.0,8.0,-8.0,bajada_fuerte,6420900.0,0.0,8.0,7372220.0,0.0,6.0,bajada_fuerte,-2,0.0
10001.0,2025,5497900.0,8,0.0,0.0,8.0,subida_fuerte,0.0,0.0,0.0,6420900.0,0.0,8.0,subida_fuerte,2,
10002.0,2021,17543400.0,6,0.0,7.0,-1.0,bajada_leve,16975696.0,0.0,7.0,13523800.0,0.0,7.0,bajada_leve,-1,
10002.0,2022,15016320.0,7,0.0,6.0,1.0,subida_leve,17543400.0,0.0,6.0,16975696.0,0.0,7.0,bajada_fuerte,-2,
10002.0,2023,5091700.0,7,0.0,7.0,0.0,sin_cambio,15016320.0,0.0,7.0,17543400.0,0.0,6.0,sin_cambio,0,
10002.0,2024,5636500.0,6,0.0,7.0,-1.0,bajada_leve,5091700.0,0.0,7.0,15016320.0,0.0,7.0,bajada_leve,-1,0.0
10002.0,2025,828500.0,4,0.0,6.0,-2.0,bajada_fuerte,5636500.0,0.0,6.0,5091700.0,0.0,7.0,bajada_fuerte,-2,
10003.0,2021,40419456.0,8,0.0,8.0,0.0,sin_cambio,36629940.0,0.0,8.0,31903688.5,0.0,9.0,sin_cambio,0,
10003.0,2022,34507840.0,9,0.0,8.0,1.0,subida_leve,40419456.0,0.0,8.0,36629940.0,0.0,8.0,subida_leve,1,
10003.0,2023,10677850.0,9,0.0,9.0,0.0,sin_cambio,34507840.0,0.0,9.0,40419456.0,0.0,8.0,sin_cambio,0,
10003.0,2024,14066250.0,8,0.0,9.0,-1.0,bajada_leve,10677850.0,0.0,9.0,34507840.0,0.0,9.0,bajada_leve,-1,
10003.0,2025,640700.0,3,0.0,8.0,-5.0,bajada_fuerte,14066250.0,0.0,8.0,10677850.0,0.0,9.0,bajada_fuerte,-2,0.0
10004.0,2021,39717642.0,8,0.0,9.0,-1.0,bajada_leve,40814230.0,0.0,9.0,37300731.2,0.0,9.0,bajada_leve,-1,
10004.0,2022,6210680.0,6,0.0,8.0,-2.0,bajada_fuerte,39717642.0,0.0,8.0,40814230.0,0.0,9.0,sin_cambio,0,
10004.0,2023,5608800.0,8,0.0,6.0,2.0,subida_fuerte,6210680.0,0.0,6.0,39717642.0,0.0,8.0,bajada_leve,-1,0.0
10004.0,2024,0.0,0,0.0,8.0,-8.0,bajada_fuerte,5608800.0,0.0,8.0,6210680.0,0.0,6.0,bajada_fuerte,-2,
