CVE_MUNICIPIO,ANIO,DEFORESTACION_HA,DEFORESTACION_ANT,Xn,CLAVE_PROGRAMA,PRESUPUESTO,DECIL_PRES,score
1001,2019,0.0,0.0,0.0,S283,34728000.0,7.0,-0.14286578357870827
1001,2020,0.0,0.0,0.0,S283,33590400.0,7.0,0.030096818706583362
1001,2021,0.0,0.0,0.0,S283,40305600.0,8.0,0.18972741744410815
1001,2022,0.0,0.0,0.0,S283,12063800.0,5.0,0.07245907868322825
1001,2023,1.081769,0.0,1.081769,S283,12741100.0,3.0,-0.14625206788836462
1001,2024,17.344076,1.081769,16.262307,S283,0.0,1.0,-0.0990888935548244
1002,2019,0.0,0.0,0.0,S283,696000.0,4.0,-0.037573609415210554
1002,2020,0.0,0.0,0.0,S283,744000.0,4.0,0.036974397420593254
1002,2021,0.0,0.0,0.0,S283,1166400.0,5.0,0.05008373783641106
1002,2022,0.0,0.0,0.0,S283,406700.0,3.0,0.05631726259133706
1002,2023,0.332051,0.0,0.332051,S283,551050.0,2.0,-0.06873703065241307
1002,2024,0.0,0.332051,-0.332051,S283,0.0,1.0,-0.1255597380261184
1003,2019,0.0,0.747698,-0.747698,S283,912000.0,4.0,-0.039331962120772064
1003,2020,0.65269,0.0,0.65269,S283,1238400.0,5.0,0.012367870077224261
1003,2021,0.0,0.65269,-0.65269,S283,1699200.0,6.0,0.06444935593408511
1003,2022,3.244192,0.0,3.244192,S283,485100.0,3.0,0.07356151409578006
1003,2023,0.0,3.244192,-3.244192,S283,494400.0,2.0,-0.0759958218586225
1003,2024,0.5818,0.0,0.5818,S283,0.0,1.0,-0.12410198909175547
1005,2019,0.083125,0.0,0.083125,S283,350400.0,3.0,-0.005180098524875856
1005,2020,0.747815,0.083125,0.66469,S283,388800.0,4.0,0.038078413788642976
1005,2021,0.0,0.747815,-0.747815,S283,499200.0,4.0,0.09260215177774185
1005,2022,0.0,0.0,0.0,S283,78400.0,2.0,0.06849060618835714
1005,2023,0.997144,0.0,0.997144,S283,41200.0,1.0,-0.0955718080779115
1005,2024,1.91153,0.997144,0.9143859999999999,S283,0.0,1.0,-0.12357145743278262
1006,2019,0.0,0.0,0.0,S283,244800.0,3.0,-0.0055147963171873465
1006,2020,0.0,0.0,0.0,S283,148800.0,3.0,-0.0052267833718318175
1006,2021,0.0,0.0,0.0,S283,1838400.0,6.0,0.06540770533401659
1006,2022,0.0,0.0,0.0,S283,362600.0,3.0,0.05631726259133706
1006,2023,0.0,0.0,0.0,S283,242050.0,1.0,-0.0973452941735918
1006,2024,0.0,0.0,0.0,S283,0.0,1.0,-0.12503005978381834
1007,2019,0.0,0.0,0.0,S283,4012800.0,6.0,-0.041409511446204354
1007,2020,0.0,0.0,0.0,S283,4300800.0,6.0,0.0031033420862809622
1007,2021,0.0,0.0,0.0,S283,5164800.0,7.0,0.0834554236664101
1007,2022,0.0,0.0,0.0,S283,1906100.0,4.0,0.03061456525579377
1007,2023,0.0,0.0,0.0,S283,2322650.0,3.0,-0.14721662221035103
1007,2024,0.0,0.0,0.0,S283,0.0,1.0,-0.12503005978381834
2001,2019,891.613691,1656.549259,-764.9355679999999,S283,6566400.0,6.0,-1.8111169290976612
2001,2020,1375.965898,891.613691,484.3522069999999,S283,6902400.01,6.0,0.5598805691894687
2001,2021,492.972097,1375.965898,-882.9938009999998,S283,7574400.0,7.0,-0.8071111350129839
2001,2022,993.789158,492.972097,500.817061,S283,1974700.0,4.0,2.250796531772051
2001,2023,573.90425,993.789158,-419.884908,S283,2044550.0,3.0,-0.5216050570317036
2001,2024,1279.116941,573.90425,705.212691,S283,0.0,1.0,0.9999050213228863
2002,2019,0.991428,1.058171,-0.066743,S283,7862400.0,7.0,-0.14292029604591805
2002,2020,22.890096,0.991428,21.898668,S283,7008000.0,6.0,0.028276510433779194
2002,2021,124.748086,22.890096,101.85799,S283,9840000.0,7.0,0.18618697118754626
2002,2022,601.59312,124.748086,476.845034,S283,4152750.0,4.0,2.144525667237265
2002,2023,15.425391,601.59312,-586.167729,S283,4439300.0,3.0,-0.6698703647523353
2002,2024,0.0,15.425391,-15.425391,S283,0.0,1.0,-0.1496362015863453
2003,2019,465.073259,45.406475,419.666784,S283,115200.0,3.0,1.684248164419816
2003,2020,642.96528,465.073259,177.892021,S283,28800.0,2.0,0.3014702903029262
2003,2021,488.843798,642.96528,-154.12148200000001,S283,657600.0,5.0,-0.14088839219820865
2003,2022,107.53537,488.843798,-381.308428,S283,4900.0,2.0,-2.259943422017062
2003,2023,2248.526062,107.53537,2140.990692,S283,5150.0,1.0,3.710547270233301
2003,2024,2499.980292,2248.526062,251.45423000000028,S283,0.0,1.0,0.27608252402201433
2004,2019,183.799956,2510.710177,-2326.910221,S283,12796800.0,7.0,-2.043373958553196
2004,2020,1730.798358,183.799956,1546.998402,S283,12441600.0,7.0,1.0416794357218602
2004,2021,2045.208828,1730.798358,314.41047000000003,S283,11548800.0,8.0,0.3515255132084347
2004,2022,7.799774,2045.208828,-2037.409054,S283,3496150.0,4.0,-9.001463597328502
2004,2023,12.597819,7.799774,4.798044999999999,S283,3440200.0,3.0,-0.1429384675933901
2004,2024,25.70031,12.597819,13.102491000000002,S283,0.0,1.0,-0.10412934151273313
3001,2019,0.0,0.0,0.0,S283,3758400.0,6.0,-0.041409511446204354
3001,2020,2.761289,0.0,2.761289,S283,1348800.0,5.0,0.01556211564677591
3001,2021,0.40265,2.761289,-2.358639,S283,4070400.0,7.0,0.08107655643651773
3001,2022,0.0,0.40265,-0.40265,S283,1180900.0,4.0,0.028829569618798546
3001,2023,0.0,0.0,0.0,S283,1344150.0,2.0,-0.0694110029968016
3001,2024,0.0,0.0,0.0,S283,0.0,1.0,-0.12503005978381834
3002,2019,0.0,0.0,0.0,S283,580800.0,4.0,-0.037573609415210554
3002,2020,0.0,0.0,0.0,S283,556800.0,4.0,0.036974397420593254
3002,2021,0.0,0.0,0.0,S283,465600.0,4.0,0.09336255283941153
3002,2022,0.0,0.0,0.0,S283,1587600.0,4.0,0.03061456525579377
3002,2023,0.0,0.0,0.0,S283,2847950.0,3.0,-0.14721662221035103
3002,2024,0.0,0.0,0.0,S283,0.0,1.0,-0.12503005978381834
3003,2019,2.379909,0.73916,1.640749,S283,17520000.0,7.0,-0.1415256988348108
3003,2020,2.705376,2.379909,0.32546699999999973,S283,22526400.0,7.0,0.030309641654032087
3003,2021,0.0,2.705376,-2.705376,S283,21336000.0,8.0,0.18833520971919837
3003,2022,2.634014,0.0,2.634014,S283,6433700.0,5.0,0.08145286507402959
3003,2023,41.814491,2.634014,39.180476999999996,S283,7359350.0,3.0,-0.11228153123636442
3003,2024,34.499978,41.814491,-7.314512999999998,S283,0.0,1.0,-0.13669796136857734
4001,2019,490.939152,406.665688,84.27346399999999,S283,12936000.0,7.0,-0.07403527786345655
4001,2020,395.557153,490.939152,-95.38199899999995,S283,25137600.0,7.0,-0.03227349275581236
4001,2021,512.131319,395.557153,116.57416599999993,S283,30220800.0,8.0,0.24971739829339248
4001,2022,323.060278,512.131319,-189.07104099999998,S283,9790200.0,5.0,-0.5731200850723331
4001,2023,344.563106,323.060278,21.502828000000022,S283,13348800.0,3.0,-0.12804372514791895
4001,2024,404.888309,344.563106,60.32520299999999,S283,0.0,1.0,-0.028801024209665
